group,column,block,score,reference_band_units,outside_band,CI_excludes_zero,organs_with_same_sign,all_sources_agree
Apoptosis executioners,patient − healthy,representation,0.9,0.07,False,False,4/6,False
Apoptosis executioners,organoid − 2D,representation,4.9,0.86,False,True,6/6,True
Apoptosis initiators,patient − healthy,representation,3.3,0.4,False,False,4/6,False
Apoptosis initiators,organoid − 2D,representation,2.0,0.64,False,True,6/6,True
BRAKES,patient − healthy,representation,-9.0,-1.28,True,True,6/6,True
BRAKES,organoid − 2D,representation,1.6,0.67,False,True,6/6,True
ENTRY adaptors,patient − healthy,representation,8.6,0.9,True,True,5/6,False
ENTRY adaptors,organoid − 2D,representation,0.5,0.14,False,False,4/6,False
ENTRY receptors,patient − healthy,representation,-8.2,-0.78,False,True,5/6,False
ENTRY receptors,organoid − 2D,representation,0.5,0.11,False,False,3/6,False
Inhibitory signals,patient − healthy,representation,0.4,0.04,False,False,3/6,False
Inhibitory signals,organoid − 2D,representation,1.9,0.6,False,True,5/6,False
MHC-I presentation,patient − healthy,representation,2.6,0.5,False,True,4/6,False
MHC-I presentation,organoid − 2D,representation,1.7,1.22,True,False,5/6,False
NK activating ligands,patient − healthy,representation,5.2,0.73,False,True,5/6,False
NK activating ligands,organoid − 2D,representation,-1.5,-0.64,False,False,6/6,True
Necroptosis executioners,patient − healthy,representation,8.6,0.58,False,True,6/6,True
Necroptosis executioners,organoid − 2D,representation,-5.0,-0.62,False,True,5/6,False
Necroptosis initiators,patient − healthy,representation,4.5,0.34,False,False,4/6,False
Necroptosis initiators,organoid − 2D,representation,3.5,0.62,False,True,4/6,False
Pyroptosis executioners,patient − healthy,representation,1.3,0.1,False,False,5/6,False
Pyroptosis executioners,organoid − 2D,representation,1.4,0.24,False,False,4/6,False
Pyroptosis initiators,patient − healthy,representation,4.9,0.58,False,False,4/6,False
Pyroptosis initiators,organoid − 2D,representation,0.9,0.37,False,False,4/6,False
